"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"38","Ast","Ast","FGF2","FGFR2",0.00760377246337927,0,"FGF2_FGFR2","FGF2 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"39","Ast","Oli","FGF2","FGFR2",0.00862849717485869,0,"FGF2_FGFR2","FGF2 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"40","Ast","Ast","FGF2","FGFR3",0.0212626984258306,0,"FGF2_FGFR3","FGF2 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"41","Opc","Opc","PDGFC","PDGFRA",0.00593229716063462,0,"PDGFC_PDGFRA","PDGFC - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"42","In","Ast","IGF1","IGF1R",0.00308133671461643,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834"
"43","In","End","IGF1","IGF1R",0.0037086672592211,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834"
"44","In","Ex","IGF1","IGF1R",0.00516874161206684,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834"
"45","In","In","IGF1","IGF1R",0.002273969998357,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834"
"46","In","Opc","IGF1","IGF1R",0.00309655160360589,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834"
"47","End","End","NAMPT","INSR",0.0151238064599906,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"48","End","Ex","NAMPT","INSR",0.00819631454344593,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"49","End","In","NAMPT","INSR",0.0104058850428834,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"50","End","Oli","NAMPT","INSR",0.0141302159502024,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"51","End","Per","NAMPT","INSR",0.01425079476354,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"52","Ast","End","ANGPTL4","CDH11",0.00883979690582289,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"53","Ast","Per","ANGPTL4","CDH11",0.00960872715851929,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"54","Ast","Opc","ANGPTL4","SDC3",0.008853750022375,0,"ANGPTL4_SDC3","ANGPTL4 - SDC3","ANGPTL","Secreted Signaling","PMID: 29017031"
"55","Ast","Ast","ANGPTL4","SDC4",0.00857247936153428,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"56","Ast","Ast","PTN","PTPRZ1",0.0928319045790044,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"57","Opc","Ast","PTN","PTPRZ1",0.0928025348064862,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"58","Per","Ast","PTN","PTPRZ1",0.0562354262591294,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"59","Ast","Opc","PTN","PTPRZ1",0.163374905459323,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"60","Opc","Opc","PTN","PTPRZ1",0.163327235753146,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
