"","source","target","pathway_name","prob","pval"
"103","endothelial","OPC","VISFATIN",0.00896484071846984,0.03
"104","endothelial","OPC","WNT",8.27719769619315e-07,0
"105","microglia","astrocytes","EDN",0.0051212947683769,0
"106","microglia","astrocytes","EGF",6.14156696918185e-05,0.01
"107","microglia","astrocytes","IGF",1.86086378186249e-05,0
"108","microglia","astrocytes","ncWNT",7.22296772748604e-06,0
"109","microglia","astrocytes","PDGF",0.00215158277844525,0
"110","microglia","astrocytes","PSAP",0.0539395375685383,0
"111","microglia","astrocytes","SPP1",0.0414676115572666,0
"112","microglia","endothelial","ACTIVIN",7.14316355681111e-07,0.01
"113","microglia","endothelial","GALECTIN",2.13215110066902e-07,0
"114","microglia","endothelial","ncWNT",2.63282382510507e-05,0.0133333333333333
"115","microglia","endothelial","PDGF",0.000609420336730252,0.00666666666666667
"116","microglia","endothelial","SPP1",0.0296034016129616,0
"117","microglia","endothelial","VEGF",8.37545422254176e-05,0
"118","microglia","endothelial","VISFATIN",0.000172976382352877,0
"119","microglia","microglia","CCL",0.0140515316282851,0
"120","microglia","microglia","COMPLEMENT",0.111614288904891,0
"121","microglia","microglia","CXCL",1.76608712362588e-06,0.01
"122","microglia","microglia","GALECTIN",0.00025827913027499,0
"123","microglia","microglia","SPP1",0.0136199697937989,0.005
"124","microglia","microglia","VEGF",3.65740871348258e-05,0
"125","microglia","neurons","ACTIVIN",1.53331983550604e-05,0
"126","microglia","neurons","EDN",3.61865328405895e-06,0.03
"127","microglia","neurons","ncWNT",7.27787200738911e-05,0.03
"128","microglia","neurons","SPP1",0.0111057670128138,0
"129","microglia","oligodendrocytes","GRN",0.00103385482388982,0.02
"130","microglia","oligodendrocytes","ncWNT",8.10464629537335e-05,0
"131","microglia","oligodendrocytes","PSAP",0.0350857289712996,0
"132","microglia","oligodendrocytes","SPP1",0.0139715822461302,0
"133","microglia","OPC","COMPLEMENT",0.0118823607250503,0
"134","microglia","OPC","EDN",3.09488288231499e-06,0.04
"135","microglia","OPC","GALECTIN",5.45461081919838e-06,0
"136","microglia","OPC","ncWNT",8.46424885421517e-06,0.02
"137","microglia","OPC","PDGF",0.0117411648432805,0
"138","microglia","OPC","SPP1",0.0436480729738704,0
"139","neurons","astrocytes","EGF",8.56235548228671e-06,0
"140","neurons","astrocytes","ENHO",1.10693113464834e-05,0
"141","neurons","astrocytes","FGF",0.00176637251220002,0
"142","neurons","astrocytes","GAS",0.000141246599768285,0
"143","neurons","astrocytes","IGF",0.00263837897584735,0
"144","neurons","astrocytes","NPR2",2.61922688237284e-08,0
"145","neurons","astrocytes","NRG",0.00258128180766485,0.01
"146","neurons","astrocytes","PDGF",0.00134546566750677,0
"147","neurons","astrocytes","PSAP",0.0482321928962515,0
"148","neurons","astrocytes","PTN",0.00231165321055676,0
"149","neurons","endothelial","FGF",2.60061312943445e-05,0
"150","neurons","endothelial","GAS",3.91220845233891e-05,0
"151","neurons","endothelial","IGF",0.00495425691058852,0
"152","neurons","endothelial","PDGF",0.000371220362756032,0
"153","neurons","endothelial","TGFb",1.03617777387705e-05,0
"154","neurons","endothelial","VEGF",0.000185096792440697,0
"155","neurons","endothelial","VISFATIN",0.000236003653320934,0
"156","neurons","microglia","CX3C",0.000247638555407398,0
"157","neurons","microglia","GAS",8.19011988978468e-05,0.02
"158","neurons","microglia","TGFb",0.00048364031101724,0
"159","neurons","microglia","VEGF",8.68825878715289e-05,0
"160","neurons","neurons","FGF",5.36504294093664e-05,0
"161","neurons","neurons","IGF",0.00158770974684192,0
"162","neurons","neurons","KIT",5.52086574697143e-05,0
"163","neurons","neurons","NRG",0.00538220654257533,0
"164","neurons","neurons","VISFATIN",0.00420541635427186,0.02
"165","neurons","oligodendrocytes","FGF",0.00069063705360794,0
"166","neurons","oligodendrocytes","GRN",7.19706760851665e-05,0.04
"167","neurons","oligodendrocytes","PSAP",0.0313072900466802,0
"168","neurons","OPC","FGF",2.99763315297552e-05,0
"169","neurons","OPC","GAS",6.93452162171539e-05,0
"170","neurons","OPC","PDGF",0.00733310555477965,0
"171","neurons","OPC","TGFb",1.64270258962239e-05,0.01
"172","oligodendrocytes","astrocytes","ANGPTL",6.32934649356242e-06,0
"173","oligodendrocytes","astrocytes","EGF",0.00230975167947267,0.0075
"174","oligodendrocytes","astrocytes","FGF",0.0305616242467586,0
"175","oligodendrocytes","astrocytes","PDGF",0.00120203935014038,0
"176","oligodendrocytes","astrocytes","PSAP",0.0347479318569817,0
"177","oligodendrocytes","astrocytes","PTN",0.0749034380073325,0
"178","oligodendrocytes","astrocytes","SEMA3",0.000124687887121076,0
"179","oligodendrocytes","astrocytes","SPP1",0.0288537521545995,0
"180","oligodendrocytes","endothelial","ANGPTL",2.14871616762712e-06,0
"181","oligodendrocytes","endothelial","FGF",0.000454783829186867,0.01
"182","oligodendrocytes","endothelial","PDGF",0.000331644444683911,0
"183","oligodendrocytes","endothelial","SEMA3",6.03960137255728e-05,0
"184","oligodendrocytes","endothelial","SPP1",0.0205597093641474,0
"185","oligodendrocytes","endothelial","VISFATIN",0.00020211974323704,0
"186","oligodendrocytes","microglia","ANGPTL",1.59560190517876e-05,0
"187","oligodendrocytes","microglia","SPP1",0.00943242081664601,0.005
"188","oligodendrocytes","neurons","EGF",0.00456699828109286,0
"189","oligodendrocytes","neurons","FGF",0.000938151131949101,0
"190","oligodendrocytes","neurons","PTN",0.00840445179393764,0.02
"191","oligodendrocytes","neurons","SEMA3",4.25930450703955e-05,0
"192","oligodendrocytes","neurons","SPP1",0.00768862308120048,0
"193","oligodendrocytes","oligodendrocytes","FGF",0.0119718384723367,0
"194","oligodendrocytes","oligodendrocytes","PSAP",0.0224431439463676,0
"195","oligodendrocytes","oligodendrocytes","PTN",0.0133687237008895,0
"196","oligodendrocytes","oligodendrocytes","SPP1",0.00969656793950322,0
"197","oligodendrocytes","OPC","ANGPTL",5.32756055601898e-08,0
"198","oligodendrocytes","OPC","FGF",0.000525314315760987,0
"199","oligodendrocytes","OPC","PDGF",0.00655200247626823,0
"200","oligodendrocytes","OPC","PTN",0.068531832451924,0.005
"201","oligodendrocytes","OPC","SPP1",0.0304312982029495,0
"202","OPC","astrocytes","ANGPTL",1.07402269096511e-05,0
"203","OPC","astrocytes","BMP",0.00190690723268446,0.005
"204","OPC","astrocytes","EDN",0.000158982392126294,0
"205","OPC","astrocytes","EGF",2.99741957973277e-05,0
"206","OPC","astrocytes","ncWNT",2.16613499735361e-05,0
"207","OPC","astrocytes","NRG",4.00082948755058e-05,0
"208","OPC","astrocytes","PTN",0.0364489793112679,0.01
"209","OPC","astrocytes","SPP1",0.0105281622738712,0
"210","OPC","endothelial","ANGPT",3.57305931154827e-05,0.005
"211","OPC","endothelial","ANGPTL",3.64615311622807e-06,0
"212","OPC","endothelial","BMP",0.000143432500980002,0.01
"213","OPC","endothelial","EGF",4.16261514101293e-07,0
"214","OPC","endothelial","ncWNT",7.89563384673883e-05,0.0133333333333333
"215","OPC","endothelial","PDGF",1.18248299798267e-05,0.02
"216","OPC","endothelial","SPP1",0.00748117721551995,0.01
"217","OPC","endothelial","VEGF",0.00142723070385928,0
"218","OPC","endothelial","VISFATIN",8.89169686594271e-05,0
"219","OPC","microglia","ANGPTL",2.70754833340249e-05,0
"220","OPC","microglia","CCL",0.000161435532775706,0
"221","OPC","microglia","COMPLEMENT",0.00560221201228216,0
"222","OPC","microglia","SPP1",0.0013566110964146,0.01
"223","OPC","microglia","VEGF",0.000623608603679276,0
"224","OPC","neurons","EDN",1.11778154905608e-07,0.04
"225","OPC","neurons","EGF",9.68846638371537e-06,0
"226","OPC","neurons","ncWNT",0.000218231116586615,0.01
"227","OPC","neurons","SPP1",0.000994337585457105,0
"228","OPC","oligodendrocytes","ncWNT",0.000243020945614873,0
"229","OPC","oligodendrocytes","PSAP",0.00286000227934558,0.02
"230","OPC","oligodendrocytes","SPP1",0.00352475870135348,0.03
"231","OPC","OPC","ANGPT",1.7983267146346e-05,0
"232","OPC","OPC","ANGPTL",9.04034240661579e-08,0
"233","OPC","OPC","COMPLEMENT",0.000549948501845212,0
"234","OPC","OPC","EDN",9.55991346728885e-08,0.02
"235","OPC","OPC","EGF",3.9542527089582e-06,0
"236","OPC","OPC","ncWNT",2.5383984889039e-05,0.02
"237","OPC","OPC","PDGF",0.00459005797850252,0.005
"238","OPC","OPC","PTN",0.0333309058863263,0.04
"239","OPC","OPC","SPP1",0.011135915391231,0
