"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"28","astrocytes","astrocytes","BMP7","BMPR1B_BMPR2",0.00582547354492999,0,"BMP7_BMPR1B_BMPR2","BMP7 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"29","OPC","astrocytes","BMP7","BMPR1B_BMPR2",0.00159803564895664,0,"BMP7_BMPR1B_BMPR2","BMP7 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"30","astrocytes","neurons","BMP7","BMPR1B_BMPR2",0.000138410679219173,0.02,"BMP7_BMPR1B_BMPR2","BMP7 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"31","microglia","endothelial","INHBA","ACVR1B_ACVR2A",7.14316355681111e-07,0.01,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
"32","microglia","neurons","INHBA","ACVR1B_ACVR2A",1.20032065094323e-05,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
"33","microglia","neurons","INHBA","ACVR1B_ACVR2B",3.32999184562816e-06,0,"INHBA_ACVR1B_ACVR2B","INHBA - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04351"
"34","astrocytes","endothelial","INHBB","ACVR1B_ACVR2A",1.76935632931698e-07,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"35","astrocytes","neurons","INHBB","ACVR1B_ACVR2A",2.97321062203106e-06,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"36","astrocytes","neurons","INHBB","ACVR1B_ACVR2B",8.2483813996791e-07,0,"INHBB_ACVR1B_ACVR2B","INHBB - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04353"
"37","endothelial","astrocytes","WNT2B","FZD3_LRP6",1.86081870420411e-06,0,"WNT2B_FZD3_LRP6","WNT2B - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"38","endothelial","endothelial","WNT2B","FZD3_LRP6",2.90393385857257e-08,0,"WNT2B_FZD3_LRP6","WNT2B - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"39","endothelial","neurons","WNT2B","FZD3_LRP6",4.36655262282256e-06,0,"WNT2B_FZD3_LRP6","WNT2B - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"40","endothelial","oligodendrocytes","WNT2B","FZD3_LRP6",9.38020887173673e-07,0,"WNT2B_FZD3_LRP6","WNT2B - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"41","endothelial","astrocytes","WNT2B","FZD4_LRP6",1.03369071530733e-06,0,"WNT2B_FZD4_LRP6","WNT2B - (FZD4+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"42","endothelial","endothelial","WNT2B","FZD4_LRP6",2.8363487504027e-07,0,"WNT2B_FZD4_LRP6","WNT2B - (FZD4+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"43","endothelial","oligodendrocytes","WNT2B","FZD5_LRP6",2.00766594437507e-06,0,"WNT2B_FZD5_LRP6","WNT2B - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"44","endothelial","OPC","WNT2B","FZD5_LRP6",8.27719769619315e-07,0,"WNT2B_FZD5_LRP6","WNT2B - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
